timestamp_sec,vehicle_id,x,y,speed_kmph
0.1,0,332,405,0.0
0.1,1,35,197,0.0
0.1,2,125,171,308.14
0.1,3,270,465,0.0
0.1,4,727,467,0.0
0.1,5,302,354,0.0
0.1,6,400,227,429.04
0.1,7,43,157,0.0
0.1,8,444,194,0.0
0.1,9,353,324,236.15
0.1,10,359,274,445.3
0.1,6,429,214,429.04
0.1,2,145,160,308.14
0.1,10,367,242,445.3
0.1,9,361,290,236.15
0.1,9,352,305,236.15
0.2,1,25,210,340.72
0.2,1,39,189,340.72
0.2,10,372,275,450.58
0.2,11,410,257,0.0
0.2,6,428,227,176.02
0.2,0,319,405,175.5
0.2,3,257,441,368.48
0.2,2,178,158,446.32
0.2,12,277,471,0.0
0.2,9,328,299,333.97
0.2,5,328,347,363.5
0.2,13,105,170,0.0
0.2,14,400,193,470.18
0.2,15,606,171,0.0
0.2,14,422,166,470.18
0.3,5,346,340,260.73
0.3,10,402,275,405.0
0.3,16,633,311,0.0
0.3,0,291,390,428.82
0.3,13,109,177,176.02
0.3,3,286,448,397.05
0.3,3,269,472,397.05
0.3,17,382,311,0.0
0.3,18,374,223,0.0
0.3,1,61,186,299.75
0.3,6,406,207,401.38
0.3,19,224,153,0.0
0.3,2,170,156,111.32
0.3,20,553,184,0.0
0.3,14,445,163,313.13
0.3,13,116,166,176.02
0.3,21,630,197,0.0
0.3,22,19,157,0.0
0.4,23,657,382,0.0
0.4,24,29,207,0.0
0.4,25,337,273,0.0
0.4,26,325,424,0.0
0.4,27,746,430,0.0
0.4,5,374,334,386.58
0.4,28,653,230,0.0
0.4,1,62,179,95.46
0.4,18,376,240,231.08
0.4,3,256,468,183.62
0.4,13,147,164,419.37
0.4,14,437,176,206.07
0.4,29,357,377,0.0
0.4,6,407,190,340.72
0.4,2,182,160,170.76
0.4,6,392,202,340.72
0.4,6,406,181,340.72
0.4,19,211,150,180.11
0.5,24,38,200,153.92
0.5,30,309,330,0.0
0.5,31,652,278,0.0
0.5,32,701,447,0.0
0.5,25,356,292,362.75
0.5,13,143,161,67.5
0.5,26,334,410,224.68
0.5,1,92,178,405.22
0.5,14,440,175,42.69
0.5,33,321,453,0.0
0.5,6,410,199,248.93
0.5,18,392,220,422.62
0.5,2,202,153,286.06
0.5,18,364,234,422.62
0.5,3,284,481,416.75
0.6,34,649,345,0.0
0.6,35,283,422,0.0
0.6,24,15,216,378.24
0.6,30,315,361,426.27
0.6,14,429,199,356.41
0.6,25,338,298,256.14
0.6,36,50,197,0.0
0.6,1,104,174,170.76
0.6,18,387,229,317.75
0.6,33,301,477,421.75
0.6,37,363,263,0.0
0.6,2,191,151,150.93
0.6,13,154,161,148.5
0.6,38,271,149,0.0
0.7,36,41,189,162.56
0.7,39,696,398,0.0
0.7,35,283,444,297.0
0.7,1,92,180,181.12
0.7,30,290,372,368.73
0.7,25,330,325,380.16
0.7,37,362,270,95.46
0.7,18,408,233,288.6
0.7,2,169,161,431.37
0.7,14,418,196,153.92
0.7,40,205,154,0.0
0.7,2,139,172,431.37
0.8,35,295,422,338.31
0.8,25,327,326,42.69
0.8,36,47,192,90.56
0.8,41,217,466,0.0
0.8,37,386,278,341.53
0.8,2,166,161,339.92
0.8,18,390,229,164.23
0.8,1,117,164,400.7
0.8,40,223,154,243.0
0.8,18,388,217,164.23
0.8,2,191,158,339.92
0.8,42,267,146,0.0
0.9,35,287,418,120.75
0.9,36,39,195,115.34
0.9,43,364,335,0.0
0.9,25,315,356,436.2
0.9,1,127,167,140.94
0.9,37,358,270,108.0
0.9,2,181,152,157.44
0.9,41,234,486,354.36
0.9,44,60,157,0.0
0.9,45,557,180,0.0
0.9,37,358,262,108.0
0.9,46,344,126,0.0
0.9,47,488,163,0.0
0.9,18,398,193,351.0
1.0,35,314,419,364.75
